@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
115,466363,1052,531031,1554,0.997082,0.997749,0.467582,0.997749,0.532418,0.636756,0.997394,1.000356,0.358974
116,466356,1059,531018,1567,0.997058,0.997734,0.467584,0.997734,0.532416,0.636755,0.997374,1.000361,0.359756
117,466350,1065,531007,1578,0.997037,0.997722,0.467586,0.997722,0.532414,0.636754,0.997357,1.000365,0.360287
118,466304,1111,530942,1643,0.996915,0.997623,0.467592,0.997623,0.532408,0.63674,0.997246,1.000378,0.360294
119,466297,1118,530930,1655,0.996893,0.997608,0.467594,0.997608,0.532406,0.636739,0.997227,1.000382,0.360465
120,466290,1125,530923,1662,0.996879,0.997593,0.467593,0.997593,0.532407,0.636735,0.997213,1.000381,0.360656
121,466287,1128,530921,1664,0.996876,0.997587,0.467593,0.997587,0.532407,0.636733,0.997208,1.00038,0.361111
122,466278,1137,530904,1681,0.996844,0.997567,0.467596,0.997567,0.532404,0.636732,0.997182,1.000387,0.361217
123,466242,1173,530836,1749,0.996716,0.99749,0.467608,0.99749,0.532392,0.636728,0.997078,1.000414,0.361596
124,466225,1190,530821,1764,0.996688,0.997454,0.467606,0.997454,0.532394,0.636719,0.997046,1.000409,0.361702
125,466217,1198,530818,1767,0.996682,0.997437,0.467603,0.997437,0.532397,0.636713,0.997035,1.000403,0.362069
126,466208,1207,530809,1776,0.996665,0.997418,0.467603,0.997418,0.532397,0.636708,0.997017,1.000402,0.362205
127,466184,1231,530779,1806,0.996609,0.997366,0.467604,0.997366,0.532396,0.636699,0.996963,1.000405,0.362832
128,466181,1234,530776,1809,0.996603,0.99736,0.467604,0.99736,0.532396,0.636698,0.996957,1.000404,0.362951
129,466117,1298,530687,1898,0.996436,0.997223,0.467611,0.997223,0.532389,0.636677,0.996804,1.00042,0.363036
130,466104,1311,530671,1914,0.996406,0.997195,0.467612,0.997195,0.532388,0.636671,0.996775,1.000422,0.363636
